transaction_id,customer_id,txn_timestamp,customer_age,account_age_days,customer_segment,transaction_amount,transaction_hour,merchant_category,country_code,distance_from_home_km,device_change_flag,device_type,payment_channel,ip_risk_score,failed_login_attempts_24h,transaction_velocity_1h,avg_txn_amount_30d,amount_vs_avg_ratio,card_present_flag,cross_border_flag,merchant_risk_score,chargeback_history_count,balance_before_txn,salary_day_flag,is_fraud
T202600035,C100095,13-01-2026 13:41,35,1091,retail,187.44,13,atm_withdrawal,IN,3.7,1,mobile,card_swipe,0.196,0,1,117.05,1.6,1,0,0.509,0,2292.53,0,0
T202600036,C100011,07-02-2026 07:55,76,933,retail,62.74,7,grocery,IN,10.2,0,pos,contactless,0.099,0,1,125.23,0.5,1,0,0.051,0,7391.61,0,0
T202600037,C100276,18-01-2026 05:19,46,170,retail,69.35,5,grocery,CA,12.2,1,mobile,mobile_app,0.72,1,3,65.48,1.06,1,0,0.488,1,2295.23,0,0
T202600038,C100048,29-03-2026 03:26,58,2753,small_business,298.27,3,atm_withdrawal,DE,5.8,0,web,mobile_app,0.039,0,0,95.09,3.14,1,0,0.381,0,13512.2,0,0
T202600039,C100193,12-01-2026 04:13,39,310,retail,44.21,4,restaurant,IN,11,0,atm,card_swipe,0.408,0,0,47.98,0.92,1,0,0.644,1,4946.52,0,0
T202600040,C100284,06-03-2026 22:40,44,444,student,44.9,22,restaurant,SG,13.9,0,mobile,card_swipe,0.533,1,2,52.56,0.85,1,0,0.388,0,1733.19,0,1
T202600041,C100016,04-01-2026 03:58,48,1721,affluent,13.32,3,restaurant,IN,1.4,0,mobile,contactless,0.291,1,0,71.99,0.19,1,0,0.111,0,5922.3,0,0
T202600042,C100254,09-02-2026 23:52,57,1733,retail,70.68,23,digital_services,GB,1174.2,1,atm,mobile_app,0.364,3,3,25.31,2.79,0,1,0.705,0,3627.76,0,0
T202600043,C100232,22-01-2026 22:10,19,444,retail,4.8,22,grocery,NG,9.3,0,web,mobile_app,0.099,0,0,16.31,0.29,1,0,0.37,0,949.07,0,0
T202600044,C100100,10-03-2026 19:58,67,1601,senior,78.69,19,digital_services,GB,8599.8,1,pos,web_portal,0.747,0,3,203.1,0.39,1,1,0.429,0,9219.91,0,0
T202600045,C100315,04-01-2026 21:13,57,811,senior,146.8,21,digital_services,US,4.6,0,mobile,contactless,0.364,0,1,171.69,0.86,1,0,0.697,0,831.88,0,0
T202600046,C100066,01-01-2026 06:38,72,1263,retail,38.42,6,restaurant,US,5.5,0,mobile,mobile_app,0.053,1,1,31.85,1.21,1,0,0.426,1,20845.39,1,0
T202600047,C100248,07-01-2026 10:59,65,2017,retail,256.23,10,fuel,CA,13,0,web,contactless,0.183,0,2,85.21,3.01,0,0,0.567,1,4976,0,0
T202600048,C100148,26-01-2026 20:21,67,670,retail,49.86,20,grocery,CA,844.1,0,pos,mobile_app,0.177,0,2,48.95,1.02,1,1,0.519,1,2564.91,1,1
T202600049,C100316,10-02-2026 11:12,61,428,senior,149.38,11,digital_services,AE,17.1,0,atm,web_portal,0.304,0,2,186.03,0.8,0,0,0.609,0,4860.59,0,0
T202600050,C100264,09-01-2026 06:07,77,541,affluent,28.53,6,utilities,CA,19.3,1,pos,mobile_app,0.474,1,2,18.18,1.57,1,0,0.259,0,4447.3,0,0
T202600051,C100186,24-02-2026 21:43,27,463,retail,163.7,21,travel,DE,23.7,0,web,mobile_app,0.417,1,3,69.78,2.35,0,0,0.644,0,6654.16,0,0
T202600052,C100006,09-03-2026 01:10,23,789,retail,15.33,1,healthcare,US,44.7,0,mobile,contactless,0.257,0,1,29.28,0.52,1,0,0.582,0,904.7,0,0
T202600053,C100075,13-01-2026 10:47,46,1775,affluent,13.37,10,healthcare,GB,4.6,0,web,mobile_app,0.341,0,2,31.55,0.42,1,0,0.293,2,2574.57,0,0
T202600054,C100049,08-02-2026 02:45,64,661,affluent,82.87,2,restaurant,US,19.9,0,web,atm,0.323,0,2,49.99,1.66,0,0,0.523,0,2798.59,0,0
T202600055,C100299,07-02-2026 11:59,19,448,senior,51.3,11,gaming,US,3.9,0,pos,mobile_app,0.301,0,1,58.16,0.88,0,0,0.229,0,2774.41,0,0
T202600056,C100008,14-01-2026 05:13,30,392,retail,56.92,5,fashion,DE,1109.3,0,pos,web_portal,0.139,0,2,24.12,2.36,0,1,0.01,1,23152.77,0,0
T202600057,C100172,18-03-2026 20:00,64,1355,retail,169.88,20,utilities,MX,9.7,0,mobile,atm,0.035,0,1,211.18,0.8,0,0,0.049,0,7703.45,0,0
T202600058,C100043,03-02-2026 11:35,39,2142,student,66.93,11,travel,US,6.7,0,web,web_portal,0.161,0,2,15,4.46,0,0,0.428,1,8191.12,0,0
T202600059,C100155,12-02-2026 17:16,57,955,retail,607.64,17,electronics,IN,10.4,0,mobile,mobile_app,0.224,0,0,83.64,7.26,1,0,0.302,2,1387.07,0,0
T202600060,C100019,07-02-2026 16:22,45,1555,affluent,66.13,16,digital_services,IN,1266.2,1,pos,mobile_app,0.701,4,4,50.86,1.3,0,1,0.438,0,1094.55,0,1
T202600061,C100069,18-01-2026 09:19,46,689,retail,447.96,9,grocery,US,3888.7,0,atm,atm,0.226,0,1,257.57,1.74,1,1,0.593,0,2922.06,0,0
T202600062,C100188,15-02-2026 01:24,32,1554,retail,116.54,1,luxury,AE,1.3,0,atm,contactless,0.34,0,1,24.66,4.73,1,0,0.716,1,910.08,0,1
T202600063,C100231,31-01-2026 04:50,69,284,retail,79.57,4,fashion,IN,19.9,1,pos,web_portal,0.056,1,1,116.34,0.68,0,0,0.249,1,4824.46,0,0
T202600064,C100237,28-03-2026 14:15,43,634,retail,388.67,14,luxury,US,17.2,0,pos,atm,0.115,0,1,268.98,1.44,1,0,0.299,0,16398.26,1,0
T202600065,C100281,09-02-2026 00:36,47,480,retail,433.97,0,electronics,US,7.7,0,web,card_swipe,0.014,0,0,201.38,2.15,1,0,0.454,0,5137.2,0,0
T202600066,C100220,22-02-2026 10:14,25,909,retail,31.16,10,digital_services,IN,4,0,atm,card_swipe,0.334,1,1,21.89,1.42,1,0,0.387,0,6469.42,0,0
T202600067,C100208,20-03-2026 09:52,33,828,senior,8.08,9,luxury,GB,21.7,0,mobile,mobile_app,0.17,1,6,31.59,0.26,1,0,0.542,0,4489.69,0,0
T202600068,C100181,26-01-2026 04:38,27,311,retail,201.38,4,luxury,US,8.3,0,pos,atm,0.315,0,0,56.63,3.56,1,0,0.227,0,8523.03,1,0
T202600069,C100115,25-03-2026 23:06,52,628,small_business,56.19,23,electronics,IN,11.8,0,pos,mobile_app,0.458,0,3,39.05,1.44,1,0,0.721,0,2294.84,0,0
T202600070,C100020,17-01-2026 16:53,48,1109,small_business,59.27,16,utilities,IN,21.8,0,mobile,atm,0.354,0,1,86.84,0.68,1,0,0.305,0,7562.32,0,0
T202600071,C100209,22-01-2026 15:34,64,1248,retail,110.35,15,utilities,IN,42.9,0,mobile,card_swipe,0.249,1,2,168.12,0.66,0,0,0.734,0,573.35,0,0
T202600072,C100072,26-02-2026 14:50,45,710,retail,42.71,14,restaurant,US,12.4,0,mobile,mobile_app,0.023,0,2,28.17,1.52,0,0,0.697,0,4909.86,1,0
T202600073,C100259,16-01-2026 06:04,53,483,senior,52.02,6,electronics,CA,12.6,0,mobile,web_portal,0.253,0,1,45.59,1.14,1,0,0.121,0,6015.83,0,0
T202600074,C100226,17-01-2026 08:26,66,912,retail,23.67,8,fuel,DE,23.6,0,mobile,web_portal,0.185,0,1,79.17,0.3,1,0,0.017,1,7640.02,0,0
T202600075,C100056,09-02-2026 16:41,50,1022,small_business,99.86,16,digital_services,US,24.2,0,web,card_swipe,0.567,0,2,112.55,0.89,1,0,0.793,1,1673.84,0,0
T202600076,C100284,09-03-2026 09:50,44,444,student,32.5,9,utilities,IN,5164.6,0,mobile,mobile_app,0.53,1,2,52.56,0.62,1,1,0.459,0,1498.58,0,0
T202600077,C100109,28-03-2026 19:21,60,507,retail,36,19,travel,US,15.8,0,pos,web_portal,0.359,0,0,34.48,1.04,0,0,0.724,0,18090.59,1,0
T202600078,C100049,03-02-2026 10:31,64,661,affluent,67.28,10,electronics,US,1.2,0,pos,contactless,0.153,1,2,49.99,1.35,0,0,0.128,0,3887.11,0,0
T202600079,C100061,13-03-2026 15:29,62,1667,student,51.98,15,digital_services,BR,12.3,0,atm,mobile_app,0.135,0,0,23.03,2.26,1,0,0.146,0,968.33,0,0
T202600080,C100079,18-03-2026 08:30,58,1077,retail,113.75,8,travel,IN,24.2,0,pos,mobile_app,0.011,1,2,74.55,1.53,0,0,0.25,0,2315.16,0,0
T202600081,C100266,12-03-2026 19:41,44,2284,retail,33.48,19,digital_services,US,16,0,pos,mobile_app,0.148,1,3,50.16,0.67,0,0,0.862,1,3206.23,0,0
T202600082,C100153,21-03-2026 12:25,35,836,retail,78.68,12,gaming,GB,16.2,0,mobile,contactless,0.226,0,3,208.01,0.38,1,0,0.636,0,4169.76,0,0
T202600083,C100235,21-03-2026 17:07,61,1146,retail,92.29,17,electronics,GB,1,0,atm,mobile_app,0.118,0,2,81.66,1.13,1,0,0.663,0,2513.27,0,0
T202600084,C100041,13-01-2026 16:37,63,198,retail,27.54,16,atm_withdrawal,CA,1771.5,1,mobile,mobile_app,0.467,1,2,66.88,0.41,1,1,0.333,0,2444.88,0,0
T202600085,C100295,07-01-2026 03:21,49,929,retail,202.59,3,fashion,MX,2.2,0,pos,web_portal,0.192,1,1,94.32,2.15,0,0,0.481,0,8243.98,0,0
T202600086,C100054,10-02-2026 01:46,47,710,retail,37.06,1,utilities,US,9.6,0,web,mobile_app,0.146,0,0,81.82,0.45,1,0,0.472,0,14799.49,0,0
T202600087,C100195,06-03-2026 22:19,23,160,retail,12.97,22,fuel,AE,8.8,0,web,card_swipe,0.467,1,2,15,0.86,1,0,0.374,1,2618.92,0,0
T202600088,C100296,20-01-2026 09:27,68,1180,retail,49.55,9,electronics,DE,5753.1,0,pos,card_swipe,0.369,0,5,16.39,3.02,1,1,0.369,1,13235.94,0,0
T202600089,C100128,25-03-2026 23:08,52,1209,retail,160.51,23,electronics,GB,5.2,0,atm,atm,0.34,1,0,115.18,1.39,1,0,0.119,0,4821.87,1,0
T202600090,C100135,30-01-2026 18:15,36,766,retail,67.04,18,grocery,GB,14.5,0,pos,contactless,0.173,0,1,71.16,0.94,1,0,0.362,0,1413.31,0,0
T202600091,C100166,24-02-2026 14:10,37,904,senior,20.58,14,fuel,US,29.2,0,mobile,mobile_app,0.313,1,0,64.25,0.32,0,0,0.477,2,9387.25,0,0
T202600092,C100246,02-02-2026 08:52,63,1076,senior,101.69,8,travel,GB,29.3,1,pos,contactless,0.665,3,3,30.74,3.31,0,0,0.359,0,3776.55,0,1
T202600093,C100097,25-03-2026 05:55,58,993,student,87.48,5,atm_withdrawal,NG,10.2,0,mobile,card_swipe,0.358,1,1,290.14,0.3,0,0,0.505,0,6257.93,0,0
T202600094,C100174,29-01-2026 02:22,59,683,retail,41.35,2,atm_withdrawal,IN,147.8,0,mobile,contactless,0.148,1,1,50.34,0.82,0,0,0.176,1,1753.06,0,0
T202600095,C100274,31-01-2026 13:49,43,1277,retail,130.19,13,grocery,US,8.8,0,web,contactless,0.176,1,2,90.35,1.44,1,0,0.35,0,6522.54,0,0
T202600096,C100067,09-02-2026 16:43,40,423,affluent,31.21,16,fuel,IN,3.4,1,pos,web_portal,0.586,0,0,34.97,0.89,1,0,0.604,0,3908.74,0,1
T202600097,C100202,16-02-2026 08:41,47,938,affluent,35.45,8,gaming,US,12.4,0,pos,mobile_app,0.205,0,5,69.42,0.51,0,0,0.357,0,1432.43,0,0
T202600098,C100001,13-02-2026 04:21,64,403,student,203.37,4,atm_withdrawal,US,7.8,0,web,mobile_app,0.048,1,1,169.27,1.2,1,0,0.307,1,9188.05,0,0
T202600099,C100072,17-01-2026 18:48,45,710,retail,14.27,18,gaming,US,9.7,0,pos,mobile_app,0.081,0,2,28.17,0.51,1,0,0.313,0,5288.96,0,0
T202600100,C100177,12-01-2026 03:42,27,1528,small_business,98.5,3,travel,US,8.8,0,pos,contactless,0.242,1,0,67.86,1.45,0,0,0.543,1,7726.98,0,0
T202600101,C100243,22-01-2026 14:56,56,647,retail,71.28,14,gaming,US,0.6,0,mobile,card_swipe,0.22,0,0,91.91,0.78,1,0,0.498,0,9335.59,0,0
T202600102,C100021,10-03-2026 19:52,40,804,affluent,38.32,19,fashion,GB,7325.1,0,atm,mobile_app,0.348,1,1,31.77,1.21,0,1,0.27,0,11848.02,0,0
T202600103,C100138,11-02-2026 15:13,38,487,retail,119.54,15,luxury,SG,8.9,0,mobile,card_swipe,0.595,0,1,68.03,1.76,0,0,0.416,0,2095.29,0,0
T202600104,C100084,14-02-2026 17:07,55,1299,retail,61.88,17,fashion,US,11.7,0,mobile,card_swipe,0.433,1,2,36.59,1.69,0,0,0.15,0,2217.83,0,0
T202600105,C100309,24-01-2026 12:16,24,1160,retail,81.29,12,electronics,US,4.1,0,mobile,mobile_app,0.281,1,3,108.72,0.75,1,0,0.826,0,7959.52,0,0
T202600106,C100286,12-02-2026 23:41,27,311,retail,9.84,23,grocery,US,2.4,0,atm,mobile_app,0.528,0,1,17.92,0.55,1,0,0.236,0,7671.52,0,0
T202600107,C100225,17-01-2026 22:21,36,606,retail,34.36,22,travel,US,4.8,0,pos,web_portal,0.256,1,2,20.65,1.66,0,0,0.42,0,4848.79,0,0
T202600108,C100063,08-01-2026 06:54,76,921,retail,149.36,6,fashion,IN,3.5,0,mobile,atm,0.496,0,0,50.78,2.94,0,0,0.713,0,1818.34,0,0
T202600109,C100231,14-02-2026 12:49,69,284,retail,115.77,12,healthcare,IN,3.4,0,mobile,contactless,0.081,0,0,116.34,1,1,0,0.035,1,6056.55,0,0
T202600110,C100284,20-03-2026 12:15,44,444,student,27.2,12,gaming,SG,11.7,0,mobile,atm,0.285,0,1,52.56,0.52,0,0,0.567,0,1817.12,0,0
T202600111,C100139,27-01-2026 08:51,44,1194,retail,235.02,8,atm_withdrawal,US,36.3,0,pos,web_portal,0.396,0,2,102.3,2.3,1,0,0.73,0,12300.02,1,0
T202600112,C100084,01-01-2026 03:20,55,1299,retail,48.81,3,fashion,US,0.4,1,mobile,contactless,0.457,1,4,36.59,1.33,1,0,0.469,0,2383.27,1,0
T202600113,C100019,02-02-2026 23:48,45,1555,affluent,38.84,23,restaurant,US,26.9,0,mobile,web_portal,0.102,1,0,50.86,0.76,1,0,0.5,0,1102.15,0,0
T202600114,C100086,05-01-2026 00:56,23,836,retail,79.08,0,healthcare,MX,30.2,0,pos,mobile_app,0.335,1,0,66.16,1.2,1,0,0.59,0,1517.04,0,0
T202600115,C100168,20-02-2026 00:41,38,782,small_business,34.75,0,gaming,US,31.6,0,web,card_swipe,0.221,0,0,35.62,0.98,0,0,0.675,0,12988.48,0,0
T202600116,C100297,07-03-2026 07:30,44,298,retail,346.36,7,grocery,CA,8.6,0,pos,contactless,0.194,0,3,269.55,1.28,0,0,0.522,0,49950.12,0,0
T202600117,C100018,05-01-2026 09:59,68,1592,retail,456.88,9,fuel,CA,16.8,0,pos,contactless,0.265,0,2,156.06,2.93,0,0,0.372,0,4234.82,0,0
T202600118,C100287,16-03-2026 11:16,52,667,retail,245.92,11,restaurant,BR,1.5,0,web,contactless,0.577,0,0,71.57,3.44,0,0,0.338,1,4902.86,0,0
T202600119,C100011,15-03-2026 09:58,76,933,retail,351.63,9,luxury,IN,6.4,0,web,atm,0.755,0,3,125.23,2.81,1,0,0.648,0,7990.46,0,1
T202600120,C100191,26-03-2026 15:09,55,663,retail,131.46,15,digital_services,CA,9.3,0,mobile,mobile_app,0.073,0,1,123.74,1.06,0,0,0.263,1,1142.28,1,0
T202600121,C100308,24-03-2026 05:01,36,1455,student,53.83,5,digital_services,IN,5883.6,0,pos,atm,0.472,1,0,80.8,0.67,1,1,0.45,0,6380.89,0,0
T202600122,C100202,22-01-2026 19:40,47,938,affluent,73.5,19,utilities,AE,6327.3,1,mobile,card_swipe,0.473,3,2,69.42,1.06,1,1,0.627,0,1337.13,0,0
T202600123,C100083,04-03-2026 16:55,67,835,retail,262.62,16,fashion,GB,16.2,1,mobile,mobile_app,0.486,0,2,126.6,2.07,0,0,0.527,0,805.61,0,0
T202600124,C100118,06-02-2026 14:48,32,516,retail,47.49,14,digital_services,AE,4276.9,0,pos,mobile_app,0.152,0,1,17.15,2.77,1,1,0.495,0,2241.76,0,0
T202600125,C100131,01-02-2026 14:09,51,1165,retail,101.31,14,digital_services,IN,11,0,mobile,web_portal,0.666,0,3,101.97,0.99,0,0,0.318,0,3081.63,1,0
T202600126,C100073,24-01-2026 20:00,25,937,retail,36.06,20,digital_services,GB,12.6,0,web,atm,0.18,1,2,15.94,2.26,0,0,0.105,2,1314.12,0,0
T202600127,C100093,05-02-2026 04:21,41,395,retail,171.24,4,grocery,CA,17,0,web,card_swipe,0.675,0,1,141.97,1.21,1,0,0.181,0,3254.05,0,0
T202600128,C100286,12-03-2026 12:41,27,311,retail,15.86,12,travel,US,7.4,0,atm,atm,0.173,1,1,17.92,0.89,0,0,0.483,0,8964.07,0,0
T202600129,C100236,28-01-2026 23:52,57,574,affluent,119.48,23,electronics,US,43.9,0,pos,mobile_app,0.377,0,2,90.83,1.32,1,0,0.149,0,2324.03,1,0
T202600130,C100073,28-01-2026 16:55,25,937,retail,22.76,16,luxury,GB,7.7,0,mobile,web_portal,0.312,0,0,15.94,1.43,1,0,0.565,2,1648.69,1,0
T202600131,C100056,19-01-2026 13:32,50,1022,small_business,401.17,13,electronics,US,4.4,0,mobile,contactless,0.227,1,3,112.55,3.56,0,0,0.391,1,1559.06,0,0
T202600132,C100017,17-03-2026 16:49,25,733,retail,50.85,16,atm_withdrawal,BR,6.3,1,pos,web_portal,0.74,1,1,70.76,0.72,0,0,0.125,0,1631.56,0,0
T202600133,C100145,04-02-2026 16:29,69,561,retail,100.07,16,fashion,US,9.5,0,pos,card_swipe,0.705,0,3,44.78,2.23,0,0,0.166,0,20940.65,0,0
T202600134,C100007,05-01-2026 01:07,59,1009,affluent,36.29,1,digital_services,US,13.9,1,pos,web_portal,0.405,2,1,112.79,0.32,0,0,0.412,1,10380.97,0,0
T202600135,C100174,11-02-2026 15:38,59,683,retail,53.29,15,fashion,IN,4.3,0,mobile,web_portal,0.319,1,1,50.34,1.06,1,0,0.201,1,2221.88,0,0
T202600136,C100099,15-03-2026 08:29,26,1082,senior,107.44,8,gaming,IN,3.8,0,web,contactless,0.577,0,2,33.28,3.23,1,0,0.371,1,2324.81,0,1
T202600137,C100138,23-01-2026 11:01,38,487,retail,71.95,11,grocery,SG,2.5,0,mobile,mobile_app,0.031,0,1,68.03,1.06,1,0,0.472,0,1613.42,0,0
T202600138,C100182,25-02-2026 14:08,47,849,affluent,118.65,14,utilities,NG,2097.6,0,atm,card_swipe,0.533,0,2,163.24,0.73,1,1,0.517,1,1616.35,1,0
T202600139,C100028,30-01-2026 17:20,50,819,retail,602.13,17,travel,GB,6478.8,0,pos,mobile_app,0.038,0,2,251.77,2.39,1,1,0.99,1,6142.09,0,1
T202600140,C100292,23-01-2026 00:23,75,415,retail,19.29,0,grocery,BR,1767.3,1,pos,web_portal,0.636,2,3,40.29,0.48,1,1,0.173,0,1919.52,0,0
T202600141,C100071,31-01-2026 11:04,29,1598,retail,61.75,11,gaming,MX,23.3,0,atm,mobile_app,0.477,0,6,50.77,1.22,1,0,0.835,0,1196.4,0,0
T202600142,C100102,25-03-2026 12:36,66,1200,retail,26.41,12,gaming,US,12.2,0,atm,mobile_app,0.096,0,2,24.73,1.07,1,0,0.102,1,3255.59,1,0
T202600143,C100263,13-02-2026 23:13,73,1184,retail,136.92,23,utilities,MX,18.9,0,mobile,web_portal,0.135,0,2,132.59,1.03,1,0,0.416,0,3280.16,0,0
T202600144,C100243,03-02-2026 12:36,56,647,retail,424.84,12,travel,IN,5677,1,web,contactless,0.574,4,4,91.91,4.62,1,1,0.769,0,11774.99,0,1
T202600145,C100044,23-01-2026 00:04,22,490,retail,11.99,0,digital_services,AE,0.7,0,web,contactless,0.083,0,5,15,0.8,1,0,0.175,0,326.59,0,0
T202600146,C100297,19-01-2026 11:21,44,298,retail,117.2,11,fuel,CA,13.7,0,atm,contactless,0.306,0,0,269.55,0.43,0,0,0.183,0,50262.16,0,0
T202600147,C100092,27-02-2026 16:26,68,450,retail,310.65,16,utilities,GB,13.4,0,mobile,web_portal,0.218,0,2,210.36,1.48,0,0,0.16,1,2765.34,1,0
T202600148,C100019,18-01-2026 03:18,45,1555,affluent,84.08,3,electronics,US,6.9,0,atm,card_swipe,0.289,0,0,50.86,1.65,0,0,0.532,0,1124.65,0,0
T202600149,C100149,31-03-2026 15:23,21,1344,retail,29.22,15,grocery,AE,6507.5,0,pos,mobile_app,0.14,0,0,17.19,1.7,1,1,0.236,2,6691.91,0,1
T202600150,C100204,05-01-2026 22:14,45,529,retail,121.07,22,utilities,IN,22.1,0,atm,card_swipe,0.466,0,3,105.71,1.15,1,0,0.461,2,2968.81,0,0
T202600151,C100228,03-01-2026 08:38,50,1471,affluent,114.21,8,grocery,IN,19.7,0,mobile,mobile_app,0.307,0,2,83.07,1.37,1,0,0.444,0,1967.97,0,0
